Event,Timestamp,Score
yellow,2.8903567790985107,0
yellow,1.1616168022155762,1
blue,0.607457160949707,1
yellow,1.9686110019683838,2
blue,1.5943150520324707,2
green,1.082056999206543,2
yellow,1.7350308895111084,3
blue,0.5093350410461426,3
green,0.43942689895629883,3
yellow,0.5079848766326904,3
yellow,1.6989219188690186,4
blue,0.5420877933502197,4
green,0.4416830539703369,4
yellow,0.5061948299407959,4
blue,0.4405529499053955,4
yellow,1.8367018699645996,5
blue,0.4446430206298828,5
green,0.47322797775268555,5
yellow,0.4757661819458008,5
blue,0.43935585021972656,5
green,0.5116720199584961,5
yellow,1.1261918544769287,6
blue,0.5089850425720215,6
green,0.5416369438171387,6
yellow,0.5459918975830078,6
blue,0.5438101291656494,6
green,0.6096823215484619,6
yellow,0.5743520259857178,6
yellow,2.1081550121307373,7
blue,0.43905091285705566,7
green,0.43982577323913574,7
yellow,0.4764559268951416,7
blue,0.4406280517578125,7
green,0.4412260055541992,7
yellow,0.5760886669158936,7
yellow,0.4752199649810791,7
yellow,1.0219707489013672,8
blue,0.47563910484313965,8
green,0.44086408615112305,8
yellow,0.510502815246582,8
blue,0.4404628276824951,8
green,0.44229936599731445,8
yellow,0.6074230670928955,8
yellow,0.5419878959655762,8
red,0.5795760154724121,8
yellow,2.3143060207366943,9
blue,0.5084400177001953,9
green,0.5072851181030273,9
yellow,0.5085930824279785,9
blue,0.47449707984924316,9
green,0.5078749656677246,9
yellow,0.5734810829162598,9
yellow,0.508969783782959,9
red,0.5423388481140137,9
yellow,0.5405800342559814,9
yellow,1.6333460807800293,10
blue,0.5111422538757324,10
green,0.4417848587036133,10
yellow,0.543565034866333,10
blue,0.5108799934387207,10
green,0.5745887756347656,10
yellow,0.6102800369262695,10
